"x"
"Pentaclethra macrophylla"
"Entandrophragma cylindricum"
"Baphia leptobotrys"
"Eribroma oblongum"
"Terminalia superba"
"Duboscia macrocarpa"
"Macaranga barteri"
"Prunus avium"
"Petersianthus macrocarpus"
"Pycnanthus angolensis"
"Mansonia altissima"
"Triplochiton scleroxylon"
"Erythrophleum suaveolens"
"Cylicodiscus gabunensis"
"Annickia chlorantha"
"Pterocarpus soyauxii"
"Erythrophleum fordii"
"Ulmus americana"
"Pinus massoniana"
"Quercus petraea"
"Acer pseudoplatanus"
"Quercus robur"
