Branching2ID,PlotID,TreeID,NodeID,Parent_Node,Diameter_base,Diameter_top,Length,branch_order
152,T07,GUY07_000,2,1,85,64,23.5,0
153,T07,GUY07_000,3,2,45.9,44,3.7,1
154,T07,GUY07_000,7,3,25,24,1.7,2
155,T07,GUY07_000,8,7,13,10,0.8,3
156,T07,GUY07_000,9,7,24,16,2.5,3
157,T07,GUY07_000,10,9,11,10,0.5,4
158,T07,GUY07_000,11,10,16,10,2.4,5
159,T07,GUY07_000,4,3,44,27,3.6,2
160,T07,GUY07_000,5,4,17.5,10,4.5,3
161,T07,GUY07_000,6,4,27,10,6.6,3
162,T07,GUY07_000,20,12,46,35.9,2.9,2
163,T07,GUY07_000,21,20,20.5,10,5.8,3
164,T07,GUY07_000,22,20,35.9,36.3,1.1,3
165,T07,GUY07_000,23,22,23.7,10,6,4
166,T07,GUY07_000,24,22,35.7,24,3,4
167,T07,GUY07_000,25,24,16,10,0.5,5
168,T07,GUY07_000,26,24,24,25,1.3,5
169,T07,GUY07_000,27,26,17,10,1.6,6
170,T07,GUY07_000,28,26,25,10,2,6
171,T07,GUY07_000,12,2,62,60,2,1
172,T07,GUY07_000,14,12,32,34,1.5,2
173,T07,GUY07_000,15,14,22,10,1.8,3
174,T07,GUY07_000,16,14,34,10,6.9,3
175,T07,GUY07_000,13,12,27,10,7.3,2
176,T07,GUY07_000,17,12,24,24,3.1,2
177,T07,GUY07_000,18,17,16.6,10,3.2,3
178,T07,GUY07_000,19,17,24,10,5.1,3
179,T07,GUY07_000,29,12,60,29,1.5,2
180,T07,GUY07_000,30,29,22,10,6.5,3
181,T07,GUY07_000,31,29,29,27,1.2,3
182,T07,GUY07_000,33,31,19,10,4.2,4
183,T07,GUY07_000,32,31,27,10,8.6,4
