Branching2ID,PlotID,TreeID,NodeID,Parent_Node,Diameter_base,Diameter_top,Length,branch_order
96,T05,GUY05_000,2,1,68,38.9,21,0
97,T05,GUY05_000,3,2,13.1,10,5,1
98,T05,GUY05_000,7,2,44.9,30,1.1,1
99,T05,GUY05_000,8,7,17.6,10,4.4,2
100,T05,GUY05_000,9,7,30,28.5,3.3,2
101,T05,GUY05_000,10,9,11.1,10,2.6,3
102,T05,GUY05_000,11,9,11.1,10,8.3,3
103,T05,GUY05_000,12,2,30,27.9,2.1,1
104,T05,GUY05_000,13,12,14.1,10,1.7,2
105,T05,GUY05_000,14,12,27.9,27.7,1.5,2
106,T05,GUY05_000,15,14,11.6,10,3.1,3
107,T05,GUY05_000,16,14,27.7,26.4,1.1,3
108,T05,GUY05_000,17,16,13.1,10,3.1,4
109,T05,GUY05_000,18,16,18.6,10,4.2,4
110,T05,GUY05_000,19,18,12.4,10,2.2,5
111,T05,GUY05_000,20,16,26.4,21.8,3.1,4
112,T05,GUY05_000,22,20,13.2,10,2.7,5
113,T05,GUY05_000,21,20,21.8,10,2.6,5
114,T05,GUY05_000,4,2,22.5,19.3,4.6,1
115,T05,GUY05_000,5,4,15,10,4.1,2
116,T05,GUY05_000,6,4,15,10,3.9,2
117,T05,GUY05_000,23,2,38.9,29.8,3.2,1
118,T05,GUY05_000,24,23,18.2,10,6.4,2
119,T05,GUY05_000,26,25,19.6,10,4.7,3
120,T05,GUY05_000,25,23,29.8,23.8,2.1,2
121,T05,GUY05_000,27,25,17,10,3.1,3
122,T05,GUY05_000,28,25,23.8,19.2,0.5,3
123,T05,GUY05_000,30,28,19.2,10,3.1,4
124,T05,GUY05_000,29,28,12.8,10,1.4,4
125,T05,GUY05_000,31,28,13.6,10,1.7,4
