Branching2ID,PlotID,TreeID,NodeID,Parent_Node,Diameter_base,Diameter_top,Length,branch_order
204,T09,GUY09_000,2,1,98.7,55,25.2,0
205,T09,GUY09_000,3,2,40,39.9,3.4,1
206,T09,GUY09_000,7,3,26.1,18,4.9,2
207,T09,GUY09_000,8,7,10.9,10,0.5,3
208,T09,GUY09_000,9,7,18,10,1.35,3
209,T09,GUY09_000,4,3,39.9,31.6,1.5,2
210,T09,GUY09_000,6,4,21,10,3.7,3
211,T09,GUY09_000,5,4,31.6,10,2.5,3
212,T09,GUY09_000,10,2,38,30,4,1
213,T09,GUY09_000,11,10,20.2,10,0.6,2
214,T09,GUY09_000,12,10,30,30.8,1.9,2
215,T09,GUY09_000,13,12,25,17.2,1.5,3
216,T09,GUY09_000,14,12,30.8,28,0.9,3
217,T09,GUY09_000,15,14,15.3,10,4.1,4
218,T09,GUY09_000,17,14,27,19.2,1,4
219,T09,GUY09_000,18,17,11.2,10,1.3,5
220,T09,GUY09_000,16,14,27,10,2.6,4
221,T09,GUY09_000,38,19,30,27,3.8,2
222,T09,GUY09_000,42,38,15.9,17.3,1.2,3
223,T09,GUY09_000,43,42,12.7,10,2,4
224,T09,GUY09_000,44,42,17.3,10,1.9,4
225,T09,GUY09_000,39,38,22,16,1.3,3
226,T09,GUY09_000,41,39,12.4,10,1,4
227,T09,GUY09_000,40,39,16,10,2.2,4
228,T09,GUY09_000,20,19,24.5,15,5.4,2
229,T09,GUY09_000,21,19,34.8,28,0.45,2
230,T09,GUY09_000,22,21,20.4,10,5.4,3
231,T09,GUY09_000,23,21,28,23,2.3,3
232,T09,GUY09_000,24,23,16.8,10,3.8,4
233,T09,GUY09_000,25,23,23,22.9,1,4
234,T09,GUY09_000,27,25,16.6,18.8,0.7,5
235,T09,GUY09_000,26,25,15,10,0.5,5
236,T09,GUY09_000,28,25,18.8,10,1.8,5
237,T09,GUY09_000,29,25,22.9,20.2,1.5,5
238,T09,GUY09_000,30,29,13,10,1.1,6
239,T09,GUY09_000,31,29,20.2,10,2.2,6
240,T09,GUY09_000,19,2,50,45,1.1,1
241,T09,GUY09_000,32,19,35,32,0.8,2
242,T09,GUY09_000,33,32,20,12,1.3,3
243,T09,GUY09_000,34,32,32,21,2.5,3
244,T09,GUY09_000,37,34,15,10,3.8,4
245,T09,GUY09_000,35,34,11.8,10,2.4,4
246,T09,GUY09_000,36,34,21,10,3.8,4
247,T09,GUY09_000,45,19,45,34.5,0.9,2
248,T09,GUY09_000,46,45,22.1,16,3.7,3
249,T09,GUY09_000,47,46,12.4,10,1.6,4
250,T09,GUY09_000,48,46,16,10,2.7,4
251,T09,GUY09_000,49,45,34.5,25,1.5,3
252,T09,GUY09_000,50,49,15,10,4.2,4
253,T09,GUY09_000,51,49,25,25,0.6,4
254,T09,GUY09_000,54,51,16.3,10,2.9,5
255,T09,GUY09_000,53,51,25,16.1,1.3,5
256,T09,GUY09_000,52,51,12.6,10,1.5,5
257,T09,GUY09_000,55,53,16.1,10,2.4,6
