Branching2ID,PlotID,TreeID,NodeID,Parent_Node,Diameter_base,Diameter_top,Length,branch_order
184,T08,GUY08_000,2,1,78,54,15.3,0
185,T08,GUY08_000,4,2,19,10,11.2,1
186,T08,GUY08_000,3,2,54,51,8,1
187,T08,GUY08_000,5,3,25,23,7,2
188,T08,GUY08_000,6,5,17.9,10,6.1,3
189,T08,GUY08_000,7,5,23,23,1.8,3
190,T08,GUY08_000,8,7,19,19,1.4,4
191,T08,GUY08_000,9,7,23,10,4.8,4
192,T08,GUY08_000,10,3,35,34,1.7,2
193,T08,GUY08_000,11,10,27,10,5.4,3
194,T08,GUY08_000,12,10,34,18,3.8,3
195,T08,GUY08_000,13,12,14.3,10,1,4
196,T08,GUY08_000,14,12,18,14,0.9,4
197,T08,GUY08_000,15,14,11,10,0.6,5
198,T08,GUY08_000,16,14,14,10,1.7,5
199,T08,GUY08_000,17,3,51,36,3.6,2
200,T08,GUY08_000,18,17,20,10,1.9,3
201,T08,GUY08_000,19,17,36,32,0.5,3
202,T08,GUY08_000,20,19,32,10,2,4
203,T08,GUY08_000,21,19,23.5,21,3.3,4
