Branching2ID,PlotID,TreeID,NodeID,Parent_Node,Diameter_base,Diameter_top,Length,branch_order
258,T10,GUY10_000,2,1,60,42,17.9,0
259,T10,GUY10_000,3,2,18.2,10,3,1
260,T10,GUY10_000,4,2,15.8,10,2.3,1
261,T10,GUY10_000,5,2,42,41,3.5,1
262,T10,GUY10_000,6,5,20.3,10,3.7,2
263,T10,GUY10_000,7,5,41,41,1.1,2
264,T10,GUY10_000,8,7,35.8,38,0.48,3
265,T10,GUY10_000,9,8,22,22,0.9,4
266,T10,GUY10_000,10,9,12,10,4.5,5
267,T10,GUY10_000,11,9,22,19,2.1,5
268,T10,GUY10_000,12,8,38,18.5,4.1,4
269,T10,GUY10_000,13,12,10.7,10,0.8,5
270,T10,GUY10_000,14,12,18.5,10,2.4,5
271,T10,GUY10_000,15,7,41,32,1.8,3
272,T10,GUY10_000,16,15,20.5,10,4.5,4
273,T10,GUY10_000,17,15,32.8,32,3.1,4
274,T10,GUY10_000,19,17,20,18.2,1.8,5
275,T10,GUY10_000,20,19,16,10,1.2,6
276,T10,GUY10_000,21,19,18.2,10,3.2,6
277,T10,GUY10_000,18,17,32,10,3.9,5
278,T10,GUY10_000,22,15,32,25,2.1,4
279,T10,GUY10_000,23,22,20,19,0.05,5
280,T10,GUY10_000,24,23,16.5,10,3.1,6
281,T10,GUY10_000,26,23,19,19,0.5,6
282,T10,GUY10_000,27,26,15,10,1.5,7
283,T10,GUY10_000,25,23,19,16.2,1.7,6
284,T10,GUY10_000,29,25,11.3,10,0.35,7
285,T10,GUY10_000,28,25,16.2,10,4,7
286,T10,GUY10_000,31,30,14,10,1.5,6
287,T10,GUY10_000,30,22,25,21,0.58,5
288,T10,GUY10_000,33,30,14.8,10,1.4,6
289,T10,GUY10_000,32,30,21,10,3.2,6
