Branching2ID,PlotID,TreeID,NodeID,Parent_Node,Diameter_base,Diameter_top,Length,branch_order
73,T04,GUY04_000,2,1,64.3,51.8,18.5,0
74,T04,GUY04_000,3,2,24,19.9,3.2,1
75,T04,GUY04_000,6,3,17.9,10,3.2,2
76,T04,GUY04_000,4,3,12.4,10,2.1,2
77,T04,GUY04_000,5,3,19.9,10,3,2
78,T04,GUY04_000,12,2,51.8,58.4,3.2,1
79,T04,GUY04_000,7,2,38.8,34.6,1.6,1
80,T04,GUY04_000,8,7,21.4,10,8.2,2
81,T04,GUY04_000,9,7,34.6,33.2,2.9,2
82,T04,GUY04_000,11,9,33.2,10,4.9,3
83,T04,GUY04_000,10,9,35,10,3.6,3
84,T04,GUY04_000,14,12,31.5,25.5,5.1,2
85,T04,GUY04_000,15,14,15.8,10,4,3
86,T04,GUY04_000,16,14,25.5,19.7,0.8,3
87,T04,GUY04_000,18,16,12,10,1.2,4
88,T04,GUY04_000,17,16,19.7,10,4.5,4
89,T04,GUY04_000,13,12,25.3,10,5,2
90,T04,GUY04_000,19,12,32,25.3,2.8,2
91,T04,GUY04_000,20,19,13.4,10,1.6,3
92,T04,GUY04_000,21,19,25.3,20.5,1.4,3
93,T04,GUY04_000,23,21,15.6,10,1.9,4
94,T04,GUY04_000,22,21,11.1,10,0.5,4
95,T04,GUY04_000,24,21,17.8,10,2.1,4
