Branching2ID,PlotID,TreeID,NodeID,Parent_Node,Diameter_base,Diameter_top,Length,branch_order
1,T01,GUY01_000,2,1,87,62.7,15,0
2,T01,GUY01_000,4,2,51.4,49.2,2.4,1
3,T01,GUY01_000,5,4,14,10,1.1,2
4,T01,GUY01_000,7,4,49.2,36,3.3,2
5,T01,GUY01_000,8,7,20.3,10,7.3,3
6,T01,GUY01_000,14,7,36,24,6.8,3
7,T01,GUY01_000,15,14,14.9,10,2.5,4
8,T01,GUY01_000,16,14,24,21,1.6,4
9,T01,GUY01_000,17,16,21,10,3.3,5
10,T01,GUY01_000,18,17,12,10,2.4,6
11,T01,GUY01_000,6,7,18.7,10,8,3
12,T01,GUY01_000,9,7,30,29,2.9,3
13,T01,GUY01_000,10,9,18,10,6.9,4
14,T01,GUY01_000,11,9,29,28,4.3,4
15,T01,GUY01_000,13,11,16,10,3.5,5
16,T01,GUY01_000,12,11,28,10,5.9,5
17,T01,GUY01_000,19,3,25.1,10,7.6,2
18,T01,GUY01_000,3,2,62.7,60,2.6,1
19,T01,GUY01_000,27,3,60,41.9,3.4,2
20,T01,GUY01_000,28,27,24.2,20.5,4.1,3
21,T01,GUY01_000,29,28,15.9,10,5.1,4
22,T01,GUY01_000,30,28,18.1,10,5.8,4
23,T01,GUY01_000,32,27,41.9,40,1.4,3
24,T01,GUY01_000,33,32,30.5,28.3,2.5,4
25,T01,GUY01_000,34,33,20.5,20.9,0.18,5
26,T01,GUY01_000,35,34,15.9,10,3.2,6
27,T01,GUY01_000,36,35,20.7,10,6,7
28,T01,GUY01_000,31,28,28.4,10,7.4,4
29,T01,GUY01_000,38,32,40,22.2,11.7,4
30,T01,GUY01_000,40,38,11.3,10,3.3,5
31,T01,GUY01_000,41,38,22.2,10,4.7,5
32,T01,GUY01_000,39,38,22.2,10,6.9,5
33,T01,GUY01_000,20,3,40,28.7,4.3,2
34,T01,GUY01_000,21,20,14,10,4.7,3
35,T01,GUY01_000,22,20,28.7,25.8,1.9,3
36,T01,GUY01_000,23,22,13.4,10,0.8,4
37,T01,GUY01_000,24,22,25.8,25,3.4,4
38,T01,GUY01_000,25,24,13,10,1.5,5
39,T01,GUY01_000,26,24,25,10,4.3,5
